;	Item Numb	English	Korean Name	Type	Level	최소공격	최대공격	최소마법	최대마법	슬롯갯수	확률	착용직업	공격 범위	내구력	내구력경험치	공격속도	아이템속성	아이템성향	아이템무게	필요힘	필요지혜	필요민첩	필요카리스마	수리가격	판매가격	구입가격	힘+	지혜+	민첩+	카리스마+	체력+	마나+	물리데미지+	마법데미지+	방어력+	마법저항+	근거리	원거리	흑마법	백마법	힘-	지혜-	민첩-	카리스마-	체력-	마나-	물리데미지	마법데미지	방어력	마법저항	근거리	원거리	흑마법	백마법	남자이미지	2	3	4	5	남자스킨	여자이미지	2	3	4	5	여자스킨		
1	0	런들 대거	런들 대거	1	1	2	4	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	9	42	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	0	0
2	1	+1 런들 대거	+1 런들 대거	1	1	4	6	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	9	44	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	2	0
3	2	+2 런들 대거	+2 런들 대거	1	1	6	8	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	10	46	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	4	0
4	3	+3 런들 대거	+3 런들 대거	1	1	10	12	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	10	49	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	8	0
5	4	+4 런들 대거	+4 런들 대거	1	1	12	14	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	11	51	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	10	0
6	5	+5 런들 대거	+5 런들 대거	1	1	15	17	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	11	54	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	13	0
7	6	+6 런들 대거	+6 런들 대거	1	1	21	23	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	12	57	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	19	0
8	7	+7 런들 대거	+7 런들 대거	1	1	25	27	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	12	60	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	23	0
9	8	+8 런들 대거	+8 런들 대거	1	1	31	33	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	13	63	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	29	0
10	9	+9 런들 대거	+9 런들 대거	1	1	40	42	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	14	66	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	37	0
11	10	+10 런들 대거	+10 런들 대거	1	1	48	50	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	14	69	345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	45	0
12	11	+11 런들 대거	+11 런들 대거	1	1	58	60	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	15	73	363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	55	0
13	12	+12 런들 대거	+12 런들 대거	1	1	68	70	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	16	77	382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	65	0
14	13	+13 런들 대거	+13 런들 대거	1	1	82	84	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	17	81	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	78	0
15	14	+14 런들 대거	+14 런들 대거	1	1	94	96	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	17	85	423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	90	0
16	15	+15 런들 대거	+15 런들 대거	1	1	109	111	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	18	89	445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	104	0
17	16	+16 런들 대거	+16 런들 대거	1	1	125	127	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	19	94	468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	120	0
18	17	+17 런들 대거	+17 런들 대거	1	1	144	146	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	20	99	492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	138	0
19	18	+18 런들 대거	+18 런들 대거	1	1	164	166	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	21	104	517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	158	0
20	19	+19 런들 대거	+19 런들 대거	1	1	188	190	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	22	109	543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	181	0
21	20	+20 런들 대거	+20 런들 대거	1	1	215	217	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	23	115	571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	207	0
22	0	링 대거	링 대거	1	1	4	6	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	13	63	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	0	0
23	1	+1 링 대거	+1 링 대거	1	1	6	8	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	14	66	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	2	0
24	2	+2 링 대거	+2 링 대거	1	1	8	10	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	14	69	345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	4	0
25	3	+3 링 대거	+3 링 대거	1	1	12	14	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	15	73	363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	8	0
26	4	+4 링 대거	+4 링 대거	1	1	15	17	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	16	77	382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	11	0
