; 기술	한글	영문	아이템	기술	기술	이펙트인덱스	중복	기술	요구	요구	요구	요구	습득 가능	최소	최대	이펙트	이펙트	이펙트	시전	시전	시전 대상	시전 거리	지속 시간	쿨타임	쿨타임인덱스	지역공격범위	추가	이전스킬	간단한 설명	정보1	정보2	레벨정보	공격거리
; 번호	이름	이름	번호	종류	형태		검색	속성	근거리	원거리	흑마법	백마법	직업	데미지	데미지	종류	적용값종류	적용값	소모 HP	소모 MP							기능 코드	번호					
100000001	전사기본	전사기본	10101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	전사기본	0	0	0	0
100000002	궁수기본	궁수기본	10102	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	궁수기본	0	0	0	0
100000003	플래임에로우	플래임에로우	10103	0	4	0	0	0	0	0	0	0	0	17	27	0	0	0	0	9	0	13	0	2	1	0	0	0	플래임에로우	강력한 화염 화살 세 줄기를 발사합니다.		흑마법0	단일 대상
100000004	프래밍스피어	프래밍스피어	10104	0	4	0	0	0	0	0	5	0	0	20	30	0	0	0	0	14	0	9	0	2	2	0	0	0	프래밍스피어	강력한 화염 창으로 마법 공격을 가합니다.		흑마법5	단일 대상
100000005	프로듀스플래임	프로듀스플래임	10105	0	4	0	0	0	0	0	10	0	0	29	42	0	0	0	0	19	0	9	0	2	3	0	0	0	프로듀스플래임	어둠과 빛을 섞은 강력한 광선으로 공격합니다.		흑마법5	단일 대상
100000006	파이어볼	파이어볼	10106	0	4	0	0	0	0	0	15	0	0	37	47	0	0	0	0	24	0	9	0	2	4	0	0	0	파이어볼	적의 머리 위로 강력한 화염구를 떨어뜨립니다.		흑마법10	단일 대상
100000007	파이어피어스	파이어피어스	10107	0	4	0	0	0	0	0	20	0	0	45	55	0	0	0	0	28	0	8	0	2	5	0	0	0	파이어피어스	마법의 불꽃으로 적을 공격합니다.		흑마법15	단일 대상
100000008	프로듀스아이스	프로듀스아이스	10108	0	4	0	0	0	0	0	30	0	0	63	73	0	0	0	0	38	0	10	0	2	6	0	0	0	프로듀스아이스	얼어붙은 수증기로 운석을 만들어 공격합니다.		흑마법25	단일 대상
100000009	아이스스워드	아이스스워드	10109	0	4	0	0	0	0	0	35	0	0	73	83	0	0	0	0	43	0	9	0	2	7	0	0	0	아이스스워드	땅에서 단단한 얼음 줄기를 솟게 합니다.		흑마법30	범위 공격
