;레벨	힘 필요경험치	민첩 필요경험치	지혜 필요경험치
0	0	0	0
1	0	0	0
2	0	0	0
3	0	0	0
4	0	0	0
5	0	0	0
6	0	0	0
7	0	0	0
8	0	0	0
9	0	0	0
10	0	0	0
11	120	126	131
12	151	157	163
13	262	271	280
14	420	434	448
15	638	659	680
16	929	958	987
17	1306	1346	1387
18	1785	1839	1894
19	2383	2454	2527
20	3118	3209	3303
21	4008	4124	4243
22	5074	5220	5369
23	6337	6518	6703
24	7820	8042	8268
25	9547	9816	10091
26	11543	11867	12197
27	13835	14221	14615
28	16450	16907	17373
29	19417	19954	20503
30	22767	23394	24034
31	26530	27258	28002
32	30739	31580	32439
33	35428	36394	37381
34	40632	41737	42866
35	46388	47646	48931
36	52732	54158	55615
37	59703	61315	62960
38	67342	69156	71008
39	75689	77723	79801
40	84787	87062	89385
41	94679	97215	99805
42	105411	108230	111108
43	117028	120153	123343
44	129578	133033	136560
45	143110	146919	150809
46	157672	161864	166143
47	173316	177918	182616
48	190095	195136	200282
49	208061	213573	219198
50	227269	233284	239422
51	247777	254326	261011
52	269639	276760	284027
53	292915	300643	308530
54	317665	326038	334583
55	343949	353007	362250
56	371829	381613	391597
57	401368	411921	422690
58	432632	443998	455596
59	465686	477911	490385
60	500596	513729	527128
61	537431	551520	565895
62	576261	591358	606761
63	617156	633314	649798
64	660188	677461	695084
65	705430	723875	742694
66	752955	772633	792708
67	802842	823811	845204
68	855165	877488	900262
69	910002	933745	957967
70	967435	992663	1018399
71	1027541	1054323	1081644
72	1090403	1118811	1147790
73	1156106	1186211	1216921
74	1224731	1256608	1289126
75	1296364	1330092	1364496
76	1371094	1406750	1443122
77	1449008	1486674	1525096
78	1530192	1569954	1610512
79	1614740	1656680	1699464
80	1702742	1746954	1792050
81	1794292	1840860	1888364
82	1889484	1938504	1988508
83	1988410	2039980	2092582
84	2091170	2145382	2200688
85	2197864	2254824	2312924
86	2308580	2368388	2429404
87	2423428	2486196	2550216
88	2542512	2608336	2675492
89	2665928	2734924	2805312
90	2793776	2866060	2939800
91	2926172	3001860	3079072
92	3063216	3142420	3223224
93	3205012	3287864	3372388
94	3351672	3438296	3526656
95	3503312	3593828	3686164
96	3660036	3754576	3851024
97	3821960	3920656	4021336
98	3989200	4092176	4197248
99	4161856	4269280	4378856
100	4340056	4452056	4566304
101	4523928	4640632	4759696
102	4713576	4835144	4959168
103	4909112	5035704	5164840
104	5110680	5242440	5376848
105	5318392	5455472	5595312
106	5532360	5674928	5820368
107	5752720	5900936	6052136
108	5979600	6133632	6290760
109	6213128	6373136	6536376
110	6453416	6619584	6789104
111	6700624	6873120	7049088
112	6954832	7133856	7316464
113	7216240	7401936	7591392
114	7484944	7677520	7873984
115	7761056	7960704	8164384
116	8044736	8251664	8462736
117	8336160	8550528	8769216
118	8635376	8857424	9083920
119	8942624	9172496	9407024
120	9257952	9495936	9738672
121	9581584	9827808	10079024
122	9913600	10168336	10428192
123	10254176	10517616	10786352
124	10603456	10875824	11153680
125	10961568	11243104	11530304
126	11328704	11619616	11916384
127	11704928	12005472	12312064
128	12090496	12400896	12717536
129	12485504	12805984	13132928
130	12890080	13220928	13558400
131	13304448	13645824	13994144
132	13728704	14080960	14440288
133	14163008	14526368	14897024
134	14607552	14982272	15364512
135	15062496	15448800	15842944
136	15527936	15926176	16332384
137	16004128	16414496	16833152
138	16491136	16913984	17345280
139	16989248	17424768	17869056
140	17498496	17947008	18404608
141	18019104	18480960	18952064
142	18551264	19026688	19511648
143	19095136	19584384	20083584
144	19650816	20154368	20667968
145	20218624	20736576	21264960
146	20798592	21331392	21874880
147	21390976	21938816	22497728
148	21995904	22559232	23133888
149	22613568	23192640	23783360
150	23244096	23839296	24446464
