;	아이템번호	한글이름	영문	종류	레벨	최소공격	최대공격	최소마법	최대마법	슬롯갯수	확률	착용직업	공격 범위	내구력	내구력경험치	공격속도	아이템속성	아이템성향	아이템무게	필요힘	필요지혜	필요민첩	필요카리스마	수리가격	판매가격	구입가격	힘+	지혜+	민첩+	카리스마+	체력+	마나+	물리데미지+	마법데미지+	방어력+	마법저항+	근거리	원거리	흑마법	백마법	힘-	지혜-	민첩-	카리스마-	체력-	마나-	물리데미지	마법데미지	방어력	마법저항	근거리	원거리	흑마법	백마법	남자이미지	2	3	4	5	남자스킨	여자이미지	2	3	4	5	여자스킨		
1	0	런들 대거	런들 대거	1	1	2	4	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	12	111	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	0	0
2	1	+1 런들 대거	+1 런들 대거	1	1	4	6	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	13	123	246	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	2	0
3	2	+2 런들 대거	+2 런들 대거	1	1	6	8	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	14	138	276	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	4	0
4	3	+3 런들 대거	+3 런들 대거	1	1	11	13	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	16	153	306	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	8	0
5	4	+4 런들 대거	+4 런들 대거	1	1	14	16	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	18	171	342	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	10	0
6	5	+5 런들 대거	+5 런들 대거	1	1	17	19	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	19	189	378	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	13	0
7	6	+6 런들 대거	+6 런들 대거	1	1	24	26	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	21	210	420	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	19	0
8	7	+7 런들 대거	+7 런들 대거	1	1	29	31	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	24	231	462	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	23	0
9	8	+8 런들 대거	+8 런들 대거	1	1	36	38	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	26	255	510	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	29	0
10	9	+9 런들 대거	+9 런들 대거	1	1	46	48	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	29	282	564	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	37	0
11	10	+10 런들 대거	+10 런들 대거	1	1	56	58	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	32	312	624	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	45	0
12	11	+11 런들 대거	+11 런들 대거	1	1	68	70	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	35	345	690	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	55	0
13	12	+12 런들 대거	+12 런들 대거	1	1	80	82	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	39	381	762	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	65	0
14	13	+13 런들 대거	+13 런들 대거	1	1	95	97	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	42	420	840	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	78	0
15	14	+14 런들 대거	+14 런들 대거	1	1	110	112	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	47	462	924	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	90	0
16	15	+15 런들 대거	+15 런들 대거	1	1	126	128	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	51	510	1020	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	104	0
17	16	+16 런들 대거	+16 런들 대거	1	1	146	148	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	57	561	1122	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	120	0
18	17	+17 런들 대거	+17 런들 대거	1	1	167	169	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	62	618	1236	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	138	0
19	18	+18 런들 대거	+18 런들 대거	1	1	191	193	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	69	681	1362	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	158	0
20	19	+19 런들 대거	+19 런들 대거	1	1	219	221	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	75	750	1500	0	0	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	181	0
21	20	+20 런들 대거	+20 런들 대거	1	1	250	252	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	83	825	1650	0	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	Ws_0045_1.mod	Ws_0045_2.mod	Ws_0045_3.mod	Ws_0045.tga	Ws_0045.tga	0	207	0
