;몹번호	한글이름	영문이름	레벨	생명력	마나	최소공격력	최대공격력	방어력	최소마법력	최대마법력	마법방어력	경험치	최대실드	전리확률	전리 Lv 제한	보너스 경험치	공격거리	방어범위	원호범위	이동범위	공격성향	원호성향	공격 방법	대기 딜레이	이동속도	추적 속도	공격속도	리셋 시간	최소 개체수	몬스터 속성	최소 턴	최대 턴	특수 공격 종류	특수 공격 레벨	생성 Effect 종류	죽음 Effect 종류	몬스터공격속성
1	L1.비홀더	L1.비홀더	1	16	5	5	8	0	0	0	3	32	60	40	11	0	2	2	0	0	2	0	0	0	0	1	0	30	30	0	0	0	0	0	0	0	0
201	L2.비홀더	L2.비홀더	2	18	10	8	14	0	0	0	4	40	64	40	12	0	2	2	0	0	2	0	0	0	0	1	0	30	30	0	0	0	0	0	0	0	0
301	L3.비홀더	L3.비홀더	3	20	11	9	16	0	0	0	5	48	68	41	13	0	2	2	0	0	2	0	0	0	0	1	0	30	30	0	0	0	0	0	0	0	0
401	L4.비홀더	L4.비홀더	4	22	13	10	18	0	0	0	6	57	72	42	14	0	2	2	0	0	2	0	0	0	0	1	0	30	30	0	0	0	0	0	0	0	0
501	L5.비홀더	L5.비홀더	5	25	15	11	20	0	0	0	7	65	76	43	15	0	2	2	0	0	2	0	0	0	0	1	0	30	30	0	0	0	0	0	0	0	0
601	B.비홀더	B.비홀더	15	50	30	22	40	0	0	0	12	128	120	100	15	0	2	2	0	0	2	0	0	0	0	2	0	90	1	0	0	0	0	0	0	0	0
2	L6.카니발렛	L6.카니발렛	6	28	10	10	13	0	0	0	8	72	108	40	16	0	2	2	0	0	2	0	0	0	0	1	0	30	30	0	0	0	0	0	0	0	0
202	L7.카니발렛	L7.카니발렛	7	31	11	11	15	0	0	0	9	80	120	40	17	0	2	2	0	0	2	0	0	0	0	1	0	30	30	0	0	0	0	0	0	0	0
302	L8.카니발렛	L8.카니발렛	8	34	12	12	17	0	0	0	10	88	132	40	18	0	2	2	0	0	2	0	0	0	0	1	0	30	30	0	0	0	0	0	0	0	0
402	L9.카니발렛	L9.카니발렛	9	38	14	14	19	0	0	0	11	96	144	40	19	0	2	2	0	0	2	0	0	0	0	1	0	30	30	0	0	0	0	0	0	0	0
502	L10.카니발렛	L10.카니발렛	10	42	16	16	21	0	0	0	12	112	160	40	20	0	2	2	0	0	2	0	0	0	0	1	0	30	30	0	0	0	0	0	0	0	0
602	B.카니발렛	B.카니발렛	20	84	32	32	42	0	0	0	24	224	320	100	20	0	4	4	0	0	4	0	0	0	0	2	0	90	1	0	0	0	0	0	0	0	0
3	L11.해츨링	L11.해츨링	11	45	16	0	0	3	17	27	14	144	180	40	21	4	8	8	5	0	4	2	0	0	0	1	0	40	30	0	0	0	0	0	0	0	1
203	L12.해츨링	L12.해츨링	12	49	18	0	0	4	19	30	16	160	196	40	22	4	8	8	5	0	4	2	0	0	0	1	0	40	30	0	0	0	0	0	0	0	1
303	L13.해츨링	L13.해츨링	13	53	20	0	0	5	21	33	18	176	212	40	23	5	8	8	5	0	4	2	0	0	0	1	0	40	30	0	0	0	0	0	0	0	1
403	L14.해츨링	L14.해츨링	14	58	22	0	0	6	23	36	20	192	232	40	24	5	8	8	5	0	4	2	0	0	0	1	0	40	30	0	0	0	0	0	0	0	1
503	L15.해츨링	L15.해츨링	15	63	24	0	0	7	25	39	22	208	252	40	25	6	8	8	5	0	4	2	0	0	0	1	0	40	30	0	0	0	0	0	0	0	1
603	B.해츨링	B.해츨링	25	126	48	0	0	14	50	78	44	416	504	100	25	21	8	8	5	0	4	2	0	0	0	1	0	90	1	0	0	0	0	0	0	0	1
4	L16.좀비독	L16.좀비독	16	71	23	29	36	4	0	0	9	240	276	40	26	0	2	8	5	0	2	2	0	0	0	1	1	40	30	0	0	0	0	0	0	0	0
204	L17.좀비독	L17.좀비독	17	76	25	32	39	5	0	0	10	164	296	40	27	0	2	8	5	0	2	2	0	0	0	1	1	40	30	0	0	0	0	0	0	0	0
