;인덱스	퀘스트번호	시작맵	시작NPC	통합레벨	근	원	흑	백	제한시간	필요인원	시작아이템종류	시작아이템번호	반복가능	선결퀘스트	퀘스트중복여부	아이템번호	몬스터번호	종료맵	종료NPC	종료방식	종료 아이템/몬스터 수	지급방법	경험치	실드	성향치	아이템1	아이템2	아이템3
0	1001	3	71	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	71	1	10	0	25	0	10	0	0	0
1	1002	3	57	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	3	0	0	0	0	0	0	0	0	0
2	1003	3	3	0	0	0	0	0	0	0	0	0	0	1002	1	0	0	3	72	0	0	0	0	0	0	1471	0	0
3	1004	3	72	0	0	0	0	0	0	0	0	1471	0	1003	1	0	0	3	57	2	1471	0	0	10000	0	0	0	0
4	1005	3	57	0	0	0	0	0	0	0	0	0	0	1004	1	0	0	3	57	3	5000	0	30	0	0	0	0	0
5	1006	3	3	3	0	0	0	0	0	0	0	0	0	1001	1	0	0	0	0	2	109	1	0	0	0	274	2353	3193
6	1007	3	72	5	0	0	0	0	0	0	0	0	0	0	1	0	4	3	72		20	1	0	0	0	90001	90002	90003
7	1008	3	24	3	0	0	0	0	0	0	0	0	0	0	1	0		0	0	2	2006	0	0	0	0	0	0	0
8	1009	3	67	3	0	0	0	0	0	0	0	0	0	1008	1	0	0	0	0	0	0	0	0	0	0	0	0	0
9	1010	3	24	3	0	0	0	0	0	0	0	0	0	1008	1	0	0	3	24	0	0	0	40	10000	0	0	0	0
10	1011	3	71	5	0	0	0	0	0	0	0	0	0	1007	1	0	0	4	20	0	0	0	0	0	0	10178	0	0
11	1012	4	20	5	0	0	0	0	0	0	0	0	0	1011	1	0	0	4	20	0	0	0	60	0	0	11973	0	0
12	1013	4	55	10	0	0	0	0	0	0	0	0	0	0	1	0	6	4	55	1	20	0	0	0	100	11967	0	0
13	1014	4	55	10	0	0	0	0	0	0	0	0	0	1013	1	0	0	4	55	3	900000	0	0	0	0	10188	0	0
14	1015	6	71	12	0	0	0	0	0	0	0	0	0	0	1	0	9	6	71	1	20	0	200	0	200	0	0	0
15	1016	6	71	12	0	0	0	0	0	0	0	0	0	1015	1	0	0	6	71	2	10194	0	300	0	0	10193	11949	0
16	1017	6	3	15	0	0	0	0	0	0	0	0	0	1016	1	0	11	6	3	1	10	1	0	0	0	423	2523	3362
17	1018	6	72	17	0	0	0	0	0	0	0	0	0	0	1	0	0	6	55	0	0	0	0	0	0	8086	0	0
18	1019	6	55	17	0	0	0	0	0	0	0	0	0	1018	1	0	0	6	55	2	8086	1	0	0	0	90004	90005	90006
19	1020	6	55	18	0	0	0	0	0	0	0	0	0	1019	1	0	12	6	55	1	30	0	500	10000	200	11973	11931	0
20	1021	6	32	20	0	0	0	0	0	0	0	0	0	0	1	0	13	6	32	1	5	0	1000	0	200	0	0	0
21	1022	6	55	20	0	0	0	0	0	0	0	0	0	1021	1	0	14	8	32	1	25	0	1000	0	0	10193	10194	0
22	1023	8	71	22	0	0	0	0	0	0	0	0	0	0	1	0	15	8	71	1	20	0	1500	30000	200	0	0	0
23	1024	8	33	25	0	0	0	0	0	0	0	0	0	0	1	0	16	8	33	1	10	0	2000	0	200	0	0	0
