;레벨	근거리 필요경험치	원거리 필요경험치	흑마법 필요경험치	백마법 필요경험치
0	0	0	0	0
1	137	131	126	120
2	169	163	157	151
3	290	280	271	262
4	463	448	434	420
5	701	680	659	638
6	1018	987	958	929
7	1429	1387	1346	1306
8	1951	1894	1839	1785
9	2601	2527	2454	2383
10	3399	3303	3209	3118
11	4365	4243	4124	4008
12	5522	5369	5220	5074
13	6892	6703	6518	6337
14	8500	8268	8042	7820
15	10372	10091	9816	9547
16	12535	12197	11867	11543
17	15018	14615	14221	13835
18	17850	17373	16907	16450
19	21063	20503	19954	19417
20	24689	24034	23394	22767
21	28761	28002	27258	26530
22	33316	32439	31580	30739
23	38389	37381	36394	35428
24	44018	42866	41737	40632
25	50243	48931	47646	46388
26	57103	55615	54158	52732
27	64641	62960	61315	59703
28	72900	71008	69156	67342
29	81923	79801	77723	75689
30	91757	89385	87062	84787
31	102449	99805	97215	94679
32	114047	111108	108230	105411
33	126601	123343	120153	117028
34	140161	136560	133033	129578
35	154781	150809	146919	143110
36	170513	166143	161864	157672
37	187413	182616	177918	173316
38	205537	200282	195136	190095
39	224943	219198	213573	208061
40	245690	239422	233284	227269
41	267837	261011	254326	247777
42	291448	284027	276760	269639
43	316583	308530	300643	292915
44	343309	334583	326038	317665
45	371689	362250	353007	343949
46	401792	391597	381613	371829
47	433686	422690	411921	401368
48	467439	455596	443998	432632
49	503123	490385	477911	465686
50	540810	527128	513729	500596
51	580574	565895	551520	537431
52	622490	606761	591358	576261
53	666632	649798	633314	617156
54	713080	695084	677461	660188
55	761912	742694	723875	705430
56	813207	792708	772633	752955
57	867048	845204	823811	802842
58	923518	900262	877488	855165
59	982700	957967	933745	910002
60	1044679	1018399	992663	967435
61	1109544	1081644	1054323	1027541
62	1177380	1147790	1118811	1090403
63	1248280	1216921	1186211	1156106
64	1322330	1289126	1256608	1224731
65	1399628	1364496	1330092	1296364
66	1480262	1443122	1406750	1371094
67	1564328	1525096	1486674	1449008
68	1651926	1610512	1569954	1530192
69	1743148	1699464	1656680	1614740
70	1838094	1792050	1746954	1702742
71	1936864	1888364	1840860	1794292
72	2039564	1988508	1938504	1889484
73	2146288	2092582	2039980	1988410
74	2257148	2200688	2145382	2091170
