;Idx	아이템번호	빌링코드(개인용)	빌링코드(PC방용)	수량	아이템이름
0	11907	124	205	1	웜쓰오브 아라임
1	11908	125	206	1	웜쓰오브 아라임
2	11909	126	207	1	웜쓰오브 아라임
3	11910	127	208	1	웜쓰오브 아라임
4	11911	128	209	1	웜쓰오브 아라임
5	11912	129	210	1	웜쓰오브 아라임
6	11916	130	211	5	오오라 오브 브릴리언스
7	11917	131	212	10	오오라 오브 브릴리언스
8	11918	132	213	15	오오라 오브 브릴리언스
9	11919	133	214	5	펜텀 게더러
10	11920	134	215	10	펜텀 게더러
11	11921	135	216	15	펜텀 게더러
12	11922	136	217	10	외침용알약
13	11923	137	218	20	외침용알약
14	11924	138	219	30	외침용알약
15	11925	139	220	1	아이템 오브 아라임
16	11926	140	221	1	아이템 오브 아라임
17	11927	141	222	1	아이템 오브 아라임
18	11928	142	223	1	아이템 오브 아라임
19	11929	143	224	1	아이템 오브 아라임
20	11930	144	225	1	아이템 오브 아라임
21	11931	145	226	5	부활의 두루마리
22	11932	146	227	10	부활의 두루마리
23	11933	147	228	15	부활의 두루마리
24	11934	148	229	10	길드공지의 알약
25	11935	149	230	20	길드공지의 알약
26	11936	150	231	30	길드공지의 알약
27	11937	151	232	1	프리미엄 존 서비스
28	11938	152	233	1	프리미엄 존 서비스
29	11939	153	234	1	프리미엄 존 서비스
30	11940	154	235	1	프리미엄 존 플러스
31	11941	155	236	1	프리미엄 존 플러스
32	11942	156	237	1	프리미엄 존 플러스
33	11946	157	238	1	신의축복
34	11947	158	239	1	신의축복
35	11948	159	240	1	신의축복
36	11949	160	241	5	인첸트 체인지
37	11950	161	242	10	인첸트 체인지
38	11951	162	243	15	인첸트 체인지
39	11952	163	244	5	인첸트 컬랙션
40	11953	164	245	10	인첸트 컬랙션
41	11954	165	246	15	인첸트 컬랙션
42	11955	166	247	10	아이템 룩
43	11956	167	248	20	아이템 룩
44	11957	168	249	30	아이템 룩
45	11958	169	250	10	아이템 프로텍션
46	11959	170	251	20	아이템 프로텍션
47	11960	171	252	30	아이템 프로텍션
48	11961	172	253	10	레벨 룩
49	11962	173	254	20	레벨 룩
50	11963	174	255	30	레벨 룩
51	11964	175	256	10	레벨 프로텍션
52	11965	176	257	20	레벨 프로텍션
53	11966	177	258	30	레벨 프로텍션
54	11967	178	259	1	기동성의 물약
55	11968	179	260	1	기동성의 물약
56	11969	180	261	1	기동성의 물약
57	11970	181	262	5	웨이트 드링크
58	11971	182	263	10	웨이트 드링크
59	11972	183	264	15	웨이트 드링크
60	11973	184	265	5	HP 드링크
61	11974	185	266	10	HP 드링크
62	11975	186	267	15	HP 드링크
63	11976	187	268	5	MP 드링크
64	11977	188	269	10	MP 드링크
65	11978	189	270	15	MP 드링크
66	11913	190	271	1	그룹 윔쓰 오브 아라임
67	11914	191	272	5	그룹 윔쓰 오브 아라임
68	11915	192	273	10	그룹 윔쓰 오브 아라임
69	11979	193	274	1	그룹 HP 드링크
70	11980	194	275	5	그룹 HP 드링크
71	11981	195	276	10	그룹 HP 드링크
72	11982	196	277	1	그룹 MP 드링크
73	11983	197	278	5	그룹 MP 드링크
74	11984	198	279	10	그룹 MP 드링크
75	11985	199	280	1	군단원 HP 드링크
76	11986	200	281	5	군단원 HP 드링크
77	11987	201	282	10	군단원 HP 드링크
78	11988	202	283	1	군단원 MP 드링크
79	11989	203	284	5	군단원 MP 드링크
80	11990	204	285	10	군단원 MP 드링크
81	11991	322	329	1	웜쓰오브 아라임 1.3배 ( 1달 )
82	11992	323	330	1	웜쓰오브 아라임 1.5배 ( 1달 )
83	11993	324	331	1	아이템 오브 아라임 1.3배 ( 1달 
84	11994	325	332	1	아이템 오브 아라임 1.5배 ( 1달 )
85	11995	326	333	1	프리미엄 존 서비스 ( 1달 )
86	11996	327	334	1	프리미엄 존 플러스 ( 1달 )
87	11997	328	335	1	신의 축복 ( 1달 )
88	11998	388	421	1	단원소환
89	11999	389	422	3	단원소환
90	12000	390	423	5	단원소환
91	12001	391	424	10	단원필승의 외침
92	12002	392	425	20	단원필승의 외침
93	12003	393	426	30	단원필승의 외침
94	12004	394	427	10	단원 축복의 외침
95	12005	395	428	20	단원 축복의 외침
96	12006	396	429	30	단원 축복의 외침
97	12007	397	430	10	단원 기원의 외침
98	12008	398	431	20	단원 기원의 외침
99	12009	399	432	30	단원 기원의 외침
100	12010	400	433	10	단원 저주의 외침
101	12011	401	434	20	단원 저주의 외침
102	12012	402	435	30	단원 저주의 외침
103	12013	403	436	10	단원 도발의 외침
104	12014	404	437	20	단원 도발의 외침
105	12015	405	438	30	단원 도발의 외침
106	12016	406	439	1	마이너스
107	12017	407	440	3	마이너스
108	12018	408	441	5	마이너스
109	12019	409	442	10	하트 이모티콘
110	12020	410	443	20	하트 이모티콘
111	12021	411	444	30	하트 이모티콘
112	12022	412	445	10	기쁨 이모티콘
113	12023	413	446	20	기쁨 이모티콘
114	12024	414	447	30	기쁨 이모티콘
115	12025	415	448	10	슬픔 이모티콘
116	12026	416	449	20	슬픔 이모티콘
117	12027	417	450	30	슬픔 이모티콘
118	12028	418	451	10	분노 이모티콘
119	12029	419	452	20	분노 이모티콘
120	12030	420	453	30	분노 이모티콘
