;레벨	필요경험치	크리티컬경험치	최소(AP)	최대(AP)	STR	DEX	INT	HP	MP	AGI	STR(+)	DEX(+)	INT(+)	HP(+)	MP(+)	AGI(+)			
0	60	11	2	7	0	0	0	0	0	0	0	0	0	0	0	0			
1	76	11	4	9	0	0	0	0	0	0	0	0	0	0	0	0			
2	131	15	6	11	0	0	0	0	0	0	0	0	0	0	0	0			
3	210	20	9	14	0	0	0	0	0	0	0	0	0	0	0	0			
4	319	26	11	16	0	0	0	0	0	0	0	0	0	0	0	0			
5	465	33	14	19	0	0	0	0	0	0	0	0	0	0	0	0			
6	653	41	16	21	0	0	0	0	0	0	0	0	0	0	0	0			
7	893	49	19	24	0	0	0	0	0	0	0	0	0	0	0	0			
8	1192	59	22	27	0	0	0	0	0	0	0	0	0	0	0	0			
9	1559	60	25	30	0	0	0	0	0	0	0	0	0	0	0	0			
10	2004	70	28	33	0	0	0	0	0	0	0	0	0	0	0	0			
11	2537	81	31	36	0	0	0	0	0	0	0	0	0	0	0	0			
12	3169	93	34	39	0	0	0	0	0	0	0	0	0	0	0	0			
13	3910	106	38	43	0	0	0	0	0	0	0	0	0	0	0	0			
14	4774	119	41	46	0	0	0	0	0	0	0	0	0	0	0	0			
15	5772	134	45	50	0	0	0	0	0	0	0	0	0	0	0	0			
16	6918	150	48	53	0	0	0	0	0	0	0	0	0	0	0	0			
17	8225	166	52	57	0	0	0	0	0	0	0	0	0	0	0	0			
18	9709	184	56	61	0	0	0	0	0	0	0	0	0	0	0	0			
19	11384	202	60	65	0	0	0	0	0	0	0	0	0	0	0	0			
20	14592	222	64	69	0	0	0	0	0	0	0	0	0	0	0	0			
21	16906	243	68	73	0	0	0	0	0	0	0	0	0	0	0	0			
22	19485	264	72	77	0	0	0	0	0	0	0	0	0	0	0	0			
23	22348	287	77	82	0	0	0	0	0	0	0	0	0	0	0	0			
24	25513	311	81	86	0	0	0	0	0	0	0	0	0	0	0	0			
25	29003	336	86	91	0	0	0	0	0	0	0	0	0	0	0	0			
26	32837	361	90	95	0	0	0	0	0	0	0	0	0	0	0	0			
27	37038	388	95	100	0	0	0	0	0	0	0	0	0	0	0	0			
28	41629	416	100	105	0	0	0	0	0	0	0	0	0	0	0	0			
29	46633	445	105	110	0	0	0	0	0	0	0	0	0	0	0	0			
30	52073	475	110	115	0	0	0	0	0	0	0	0	0	0	0	0			
31	57976	507	115	120	0	0	0	0	0	0	0	0	0	0	0	0			
32	64365	539	120	125	0	0	0	0	0	0	0	0	0	0	0	0			
33	71268	572	126	131	0	0	0	0	0	0	0	0	0	0	0	0			
34	78711	607	131	136	0	0	0	0	0	0	0	0	0	0	0	0			
35	86720	642	137	142	0	0	0	0	0	0	0	0	0	0	0	0			
36	95324	679	142	147	0	0	0	0	0	0	0	0	0	0	0	0			
37	104552	717	148	153	0	0	0	0	0	0	0	0	0	0	0	0			
38	114434	756	154	159	0	0	0	0	0	0	0	0	0	0	0	0			
39	124998	796	160	165	0	0	0	0	0	0	0	0	0	0	0	0			
40	136277	837	166	171	0	0	0	0	0	0	0	0	0	0	0	0			
41	148301	879	172	177	0	0	0	0	0	0	0	0	0	0	0	0			
42	161103	923	178	183	0	0	0	0	0	0	0	0	0	0	0	0			
43	174716	967	185	190	0	0	0	0	0	0	0	0	0	0	0	0			
44	189172	1013	191	196	0	0	0	0	0	0	0	0	0	0	0	0			
45	204506	1059	198	203	0	0	0	0	0	0	0	0	0	0	0	0			
46	220752	1107	204	209	0	0	0	0	0	0	0	0	0	0	0	0			
47	237948	1156	211	216	0	0	0	0	0	0	0	0	0	0	0	0			
48	256127	1206	218	223	0	0	0	0	0	0	0	0	0	0	0	0			
49	275328	1258	225	230	0	0	0	0	0	0	0	0	0	0	0	0			
50	295587	1310	237	242	0	0	0	0	0	0	0	0	0	0	0	0			
