;상점번호	아이템번호
7	1
7	22
7	43
7	64
7	85
7	190
7	211
7	232
7	253
7	274
7	610
7	631
7	652
7	673
7	694
7	1030
7	1051
7	1072
7	1093
7	1114
7	1450
7	1471
7	1492
7	1513
7	1534
7	1870
7	1891
7	1912
7	1933
7	1954
7	10198
7	2290
7	2311
7	2332
7	2353
7	2374
7	10198
7	2710
7	2731
7	2752
7	2773
7	2794
7	3130
7	3151
7	3172
7	3193
7	3214
7	3550
7	3571
7	3592
7	3613
7	3634
8	4033
8	4054
8	4075
8	4096
8	5041
8	5062
8	5083
8	5104
8	6049
8	6070
8	6091
8	6112
8	7057
8	7078
8	7099
8	7120
8	8002
8	8023
8	10198
8	4348
8	4369
8	4390
8	4411
8	5356
8	5377
8	5398
8	5419
8	6364
8	6385
8	6406
8	6427
8	7372
8	7393
8	7414
8	7435
8	10198
8	4663
8	4684
8	4705
8	4726
8	5671
8	5692
8	5713
8	5734
8	6679
8	6700
8	6721
8	6742
8	7687
8	7708
8	7729
8	7750
9	10095
9	10096
9	10097
9	10098
9	10099
9	10100
9	10104
9	10105
9	10106
9	10113
9	10114
9	10115
9	10177
9	10178
9	10179
9	10180
9	10181
9	10182
10	11940
10	11941
10	11942
10	11946
10	11947
10	11948
10	13551
10	13552
10	11997
10	11996
10	12102
10	12291
10	12480
10	12669
10	12858
10	12123
10	12312
10	12501
10	12690
10	12144
10	12333
10	12522
10	12711
10	12921
10	12984
10	13047
10	13110
10	13236
10	13299
10	13362
10	13488
10	10197
10	10193
10	10194
10	11916
10	11919
10	11931
10	11998
10	12001
10	12004
10	12007
10	12010
10	12013
10	12019
10	12022
10	12025
10	12028
10	11913
10	11917
10	11920
10	11932
10	11949
10	11952
10	11979
10	11982
10	11985
10	11988
10	11999
10	12002
10	12005
10	12008
10	12011
10	12014
10	12020
10	12023
10	12026
10	12029
10	11914
10	11918
10	11921
10	11922
10	11933
10	11934
10	11950
10	11953
10	11955
10	11958
10	11961
10	11964
10	11970
10	11973
10	11976
10	11980
10	11983
10	11986
10	11989
10	12000
10	12003
10	12006
10	12009
10	12012
10	12015
10	12021
10	12024
10	12027
10	12030
10	11915
10	11923
10	11935
10	11951
10	11954
10	11956
10	11959
10	11962
10	11965
10	11971
10	11974
10	11977
10	11981
10	11984
10	11987
10	11990
10	11924
10	11936
10	11957
10	11960
10	11963
10	11966
10	11972
10	11975
10	11978
11	10188
11	10189
11	10190
12	10095
12	10096
12	10097
12	10098
12	10099
12	10100
12	10177
12	10178
12	10179
12	10180
12	10181
12	10182
13	106
13	127
13	295
13	316
13	715
13	736
13	1135
13	1156
13	1555
13	1576
13	1975
13	1996
13	10198
13	2395
13	2416
13	10198
13	2815
13	2836
13	3235
13	3256
13	3655
13	3676
14	4117
14	4138
14	5125
14	5146
14	6133
14	6154
14	7141
14	7162
14	8086
14	10198
14	4432
14	4453
14	5440
14	5461
14	6448
14	6469
14	7456
14	7477
14	10198
14	4747
14	4768
14	5755
14	5776
14	6763
14	6784
14	7771
14	7792
15	10095
15	10096
15	10097
15	10098
15	10099
15	10100
15	10103
15	10104
15	10105
15	10106
15	10107
15	10112
15	10113
15	10114
15	10115
15	10116
15	10392
15	10393
15	10395
15	10396
15	10177
15	10178
15	10179
15	10180
