;상점번호	아이템번호
7	1
7	22
7	43
7	64
7	85
7	10197
7	190
7	211
7	232
7	253
7	274
7	10197
7	610
7	631
7	652
7	673
7	694
7	10197
7	1030
7	1051
7	1072
7	1093
7	1114
7	1135
7	1156
7	1177
7	10197
7	1450
7	1471
7	1492
7	1513
7	1534
7	10197
7	1870
7	1891
7	1912
7	1933
7	1954
7	10198
7	2290
7	2311
7	2332
7	2353
7	2374
7	10198
7	2710
7	2731
7	2752
7	2773
7	2794
7	2815
7	10197
7	3130
7	3151
7	3172
7	3193
7	3214
8	4054
8	4075
8	4096
8	4117
8	10197
8	6049
8	6070
8	6091
8	6112
8	6133
8	6154
8	10197
8	5041
8	5062
8	5083
8	5104
8	5125
8	5146
8	10197
8	7057
8	7078
8	7099
8	7120
8	7141
8	7162
8	10198
8	4348
8	4369
8	4390
8	4411
8	4432
8	10197
8	5356
8	5377
8	5398
8	5419
8	5440
8	10197
8	6364
8	6385
8	6406
8	6427
8	6448
8	6469
8	5356
8	5377
8	5398
8	5419
8	5440
8	5461
8	10197
8	7372
8	7393
8	7414
8	7435
8	7456
8	7477
8	10198
8	4663
8	4684
8	4705
8	4726
8	4747
8	10197
8	6679
8	6700
8	6721
8	6742
8	6763
8	6784
8	10197
8	5671
8	5692
8	5713
8	5734
8	5755
8	5776
8	7687
8	7708
8	7729
8	7750
8	7771
8	7792
9	10095
9	10096
9	10097
9	10197
9	10098
9	10099
9	10100
9	10197
9	10104
9	10105
9	10106
9	10197
9	10113
9	10114
9	10115
9	10177
9	10178
9	10179
9	10180
9	10181
9	10182
10	10283
10	10325
10	10304
10	10346
11	10188
11	10189
11	10190
12	10095
12	10096
12	10097
12	10197
12	10098
12	10099
12	10100
12	10177
12	10178
12	10179
12	10180
12	10181
12	10182
13	1576
13	1597
13	1618
13	1639
13	1660
13	1681
13	1702
13	10198
13	2374
13	2395
13	2416
13	2437
13	2458
13	2479
13	2500
13	10198
13	2857
13	2878
13	2899
13	2920
13	2941
13	2962
13	2983
14	4117
14	4138
14	4159
14	4180
14	10197
14	6133
14	6154
14	6175
14	6196
14	10197
14	5125
14	5146
14	5167
14	5188
14	10197
14	7141
14	7162
14	7183
14	7204
14	10198
14	4432
14	4453
14	4474
14	4495
14	10197
14	6448
14	6469
14	6490
14	6511
14	10197
14	5440
14	5461
14	5482
14	5503
14	10197
14	7456
14	7477
14	7498
14	7519
14	10198
14	4747
14	4768
14	4789
14	4810
14	10197
14	6763
14	6784
14	6805
14	6826
14	10197
14	5755
14	5776
14	5797
14	5818
14	10197
14	7771
14	7792
14	7813
14	7834
14	10197
14	8086
14	8107
14	8128
14	8149
15	10095
15	10096
15	10097
15	10197
15	10098
15	10099
15	10100
15	10197
15	10103
15	10104
15	10105
15	10106
15	10107
15	10197
15	10112
15	10113
15	10114
15	10115
15	10116
15	10197
15	10392
15	10393
15	10197
15	10395
15	10396
15	10177
15	10178
15	10179
15	10180
15	10181
15	10182
16	316
16	337
16	358
16	379
16	400
16	421
16	442
16	10198
16	1198
16	1219
16	1240
16	1261
16	1282
16	1303
16	1324
17	4138
17	4159
17	4180
17	4201
17	10197
17	6154
17	6175
17	6196
17	6217
17	10197
17	5146
17	5167
17	5188
17	5209
17	10197
17	7162
17	7183
