;스킬아이템번호	스킬이름	근거리	원거리	흑마법	백마법	직업번호	1순위	2순위	직업이름
10129	워크라이	25	0	0	0	1	0	0	워리어
10130	버로우	10	15	0	0	2	0	1	밴디츠
10121	에너지드레인	15	0	10	0	3	0	2	샤도우나이츠
10131	블레싱 실드	15	0	0	10	4	0	3	팔라딘
10132	스텔스	15	10	0	0	5	1	0	어쌔신
10122	크리티컬	0	25	0	0	6	1	1	아처
10123	파이어 에로우	0	15	10	0	7	1	2	포처
10124	해븐리 에로우	0	15	0	10	8	1	3	레인저
10125	포이즌 웨폰	10	0	15	0	9	2	0	블레이드 메이지
10126	포이즌 에로우	0	10	15	0	10	2	1	원더러
10133	더스트 스킨	0	0	25	0	11	2	2	위저드
10134	리제너레이션	0	0	15	10	12	2	3	샤먼
10127	헤븐리 스테프	10	0	0	15	13	3	0	몽크
10135	센스티브	0	10	0	15	14	3	1	호크
10136	리쥬버네이션	0	0	10	15	15	3	2	드루이드
10128	해븐리해머	0	0	0	25	16	3	3	클레릭
