; 기술	한글	영문	아이템	기술	기술	이펙트인덱스	중복	기술	요구	요구	요구	요구	습득 가능	최소	최대	이펙트	이펙트	이펙트	시전	시전	시전 대상	시전 거리	지속 시간	쿨타임	쿨타임인덱스	지역공격범위	추가	이전스킬	간단한 설명	근거리경험치(%)	원거리경험치(%)	흑마법경험치(%)	백마법경험치(%)
; 번호	이름	이름	번호	종류	형태		검색	속성	근거리	원거리	흑마법	백마법	직업	데미지	데미지	종류	적용값종류	적용값	소모 HP	소모 MP							기능 코드	번호					
100000001	전사기본	전사기본	10101	0	0	0	0	0	0	0	0	0	0	15	23	0	0	0	0	0	0	0	0	0	0	0	0	0	전사기본	0	0	0	0
100000002	궁수기본	궁수기본	10102	0	2	0	0	0	0	0	0	0	0	8	15	0	0	0	0	0	0	0	0	0	0	0	0	0	궁수기본	0	0	0	0
100000003	플래임에로우	플래임에로우	10103	0	4	0	0	0	0	0	0	0	0	20	35	0	0	0	0	9	0	13	0	2	1	0	0	0	플래임에로우	0	0	100	0
100000004	프래밍스피어	프래밍스피어	10104	0	4	0	0	0	0	0	5	0	0	72	87	0	0	0	0	14	0	9	0	2	2	0	0	0	프래밍스피어	0	0	100	0
100000005	프로듀스플래임	프로듀스플래임	10105	0	4	0	0	0	0	0	10	0	0	104	119	0	0	0	0	19	0	9	0	2	3	0	0	0	프로듀스플래임	0	0	100	0
100000006	파이어볼	파이어볼	10106	0	4	0	0	0	0	0	15	0	0	131	146	0	0	0	0	24	0	9	0	2	4	0	0	0	파이어볼	0	0	100	0
100000007	파이어피어스	파이어피어스	10107	0	4	0	0	0	0	0	20	0	0	162	177	0	0	0	0	28	0	8	0	2	5	0	0	0	파이어피어스	0	0	100	0
100000008	프로듀스아이스	프로듀스아이스	10108	0	4	0	0	0	0	0	30	0	0	225	240	0	0	0	0	38	0	10	0	2	6	0	0	0	프로듀스아이스	0	0	100	0
100000009	아이스스워드	아이스스워드	10109	0	4	0	0	0	0	0	35	0	0	261	276	0	0	0	0	43	0	9	0	2	7	0	0	0	아이스스워드	0	0	100	0
100000010	파이어버스트	파이어버스트	10110	0	5	1	0	0	0	0	40	0	0	122	137	1	2	30	0	47	2	10	1800000	2	8	0	0	0	파이어버스트	0	0	0	0
100000011	스파이크아이스	스파이크아이스	10111	0	4	0	0	0	0	0	45	0	0	365	380	0	0	0	0	52	0	10	0	2	9	0	0	0	스파이크아이스	0	0	100	0
100000012	칠터치	칠터치	10386	0	4	2	0	0	0	0	55	0	0	413	428	0	0	0	0	56	0	9	5000	2	10	0	0	0	칠터치	0	0	100	0
100000013	클라우드킬	클라우드킬	10387	0	4	0	0	0	0	0	60	0	0	473	488	0	0	0	0	62	0	10	0	2	11	0	0	0	클라우드킬	0	0	100	0
100000014	파이어월	파이어월	10388	0	4	0	0	1	0	0	65	0	0	522	537	0	0	0	0	82	0	3	0	8	12	4	0	0	파이어월	0	0	100	0
; 기술	한글	영문	아이템	기술	기술	이펙트인덱스	중복	기술	요구	요구	요구	요구	습득 가능	최소	최대	이펙트	이펙트	이펙트	시전	시전	시전 대상	시전 거리	지속 시간	쿨타임	쿨타임인덱스	지역공격범위	추가	이전스킬	간단한 설명	근거리경험치(%)	원거리경험치(%)	흑마법경험치(%)	백마법경험치(%)
; 번호	이름	이름	번호	종류	형태		검색	속성	근거리	원거리	흑마법	백마법	직업	데미지	데미지	종류	적용값종류	적용값	소모 HP	소모 MP							기능 코드	번호					
