;맵번호	NPC번호	창고지기여부	상점번호	퀘스트번호	용병단관리인
3	57	1	0	0	0
3	3	0	7	0	3
3	72	0	8	0	4
3	71	0	9	0	0
3	67	0	10	0	0
3	24	0	0	0	1
4	55	0	11	0	0
4	20	0	12	0	0
6	3	0	13	0	0
6	72	0	14	0	0
6	71	0	15	0	0
6	33	1	0	0	0
8	3	0	16	0	0
8	72	0	17	0	0
8	71	0	18	0	0
8	33	1	0	0	0
11	50	0	19	0	0
11	3	0	20	0	0
11	20	0	21	0	0
11	34	1	0	0	0
14	21	0	22	0	0
14	14	0	23	0	0
14	25	0	24	0	0
14	52	1	0	0	0
15	3	0	28	0	0
15	72	0	29	0	0
15	71	0	30	0	0
17	21	0	32	0	0
17	14	0	33	0	0
17	25	0	34	0	0
20	57	1	25	0	0
20	33	1	26	0	0
20	34	1	27	0	0
20	66	1	0	0	0
31	14	0	35	0	4
31	52	1	0	0	0
31	25	0	36	0	0
31	21	0	37	0	0
